,track_id,track_name,danceability,loudness,acousticness,liveness,valence,tempo
204,4R2kfaDFhslZEMJqAFNpdd,cardigan,0.613,-8.588,0.537,0.25,0.551,130.033
205,7KokYm8cMIXCsGVmUvKtqf,Karma,0.642,-7.091,0.0734,0.483,0.0969,90.02
206,1dGr1c8CrMLDpV6mPbImSI,Lover,0.359,-7.582,0.492,0.118,0.453,68.534
207,0lx2cLdOt3piJbcaXIV74f,willow,0.392,-9.195,0.833,0.145,0.529,81.112
208,3CWq0pAKKTWb0K4yiglDc4,You’re Losing Me (From The Vault),0.747,-13.767,0.529,0.111,0.195,102.984
209,3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor’s Version),0.626,-4.302,0.135,0.0989,0.416,119.082
210,1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,0.615,-6.719,0.106,0.0607,0.193,135.917
211,6tNSmBKSjFV1366ASuULfZ,I Knew You Were Trouble (Taylor's Version),0.584,-6.371,0.0129,0.0576,0.767,154.008
212,1hjRhYpWyqDpPahmSlUTlc,Style (Taylor's Version),0.575,-4.823,0.000418,0.0901,0.292,94.971
213,2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,0.613,-6.509,0.0527,0.197,0.417,160.015
214,4P7LVHDbzn7aI6wWRh5AHc,You Belong With Me (Taylor’s Version),0.632,-4.856,0.0623,0.0885,0.474,130.033
215,45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),0.737,-5.417,0.0976,0.174,0.755,96.012
216,1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,0.766,-6.471,0.204,0.126,0.506,128.07
217,4NioO5R9sHEZh4cGzMHyNt,Say Don't Go (Taylor's Version) (From The Vault),0.626,-8.285,0.0656,0.149,0.192,109.946
218,1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),0.583,-7.289,0.0374,0.126,0.498,140.061
219,3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),0.505,-3.526,0.012,0.149,0.216,81.907
220,6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,0.771,-5.617,0.00929,0.0637,0.714,85.026
221,71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",0.629,-13.178,0.345,0.0603,0.306,77.983
222,2vPMoMDXxu9uX1igWZmXSG,New Romantics (Taylor's Version),0.651,-5.959,0.0068,0.0759,0.698,121.98
223,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,0.733,-10.489,0.258,0.157,0.0976,96.985
224,31CdkzHnMbvJuKZvtCQfR6,We Are Never Ever Getting Back Together (Taylor's Version),0.567,-6.139,0.0317,0.0732,0.716,172.014
225,045ZeOHPIzhxxsm8bq5kyE,Out Of The Woods (Taylor's Version),0.547,-5.961,0.000512,0.39,0.192,91.992
