artist_ids,artists,count,href,genre,image,popularity
4IWBUUAFIplrNtaOHcJPRM,James Arthur,5,https://open.spotify.com/artist/4IWBUUAFIplrNtaOHcJPRM,"['pop', 'talent show', 'uk pop']",https://i.scdn.co/image/ab6761610000e5eb2a0c6d0343c82be9dd6fce0b,81
3QSQFmccmX81fWCUSPTS7y,Dean Lewis,5,https://open.spotify.com/artist/3QSQFmccmX81fWCUSPTS7y,"['australian pop', 'pop']",https://i.scdn.co/image/ab6761610000e5eb891372380d287ac28e80d72a,75
2WzaAvm2bBCf4pEhyuDgCY,Ruth B.,5,https://open.spotify.com/artist/2WzaAvm2bBCf4pEhyuDgCY,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",https://i.scdn.co/image/ab6761610000e5eb1da7ba1c178ab9f68d065197,72
0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy,5,https://open.spotify.com/artist/0L5GV6LN8SWWUWIdBbTLTZ,"['filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb3db0499a689aa9b4a47ebba3,69
7qjJw7ZM2ekDSahLXPjIlN,Sid Sriram,5,https://open.spotify.com/artist/7qjJw7ZM2ekDSahLXPjIlN,['filmi'],https://i.scdn.co/image/ab6761610000e5ebef6a8800763bf428e85940a6,75
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,5,https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']",https://i.scdn.co/image/ab6761610000e5eb7f6d6cac38d494e87692af99,87
3zmfs9cQwzJl575W1ZYXeT,Men I Trust,5,https://open.spotify.com/artist/3zmfs9cQwzJl575W1ZYXeT,"['indie pop', 'pov: indie']",https://i.scdn.co/image/ab6761610000e5ebfd30ebd7e80dad6b2383aab0,71
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,5,https://open.spotify.com/artist/2tIP7SsRs7vjIcLrU85W8J,['australian hip hop'],https://i.scdn.co/image/ab6761610000e5eb393666951ab8b14e9c4ed386,79
7yZDrVInKssNCaZkAkQGTX,Lothika,5,https://open.spotify.com/artist/7yZDrVInKssNCaZkAkQGTX,"['desi pop', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb37db43b7d0bcd10e2b090521,55
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,5,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh,"['hip pop', 'pop', 'queens hip hop', 'rap']",https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd,87
