track_id,track_name,artists,album,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,playlist
1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),"Cheat Codes, Demi Lovato, ",No Promises (feat. Demi Lovato),0.741,0.667,0.134,0.0575,0.0,0.106,0.595,112.956,10.0,1.0,hodgepodge.
1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),"SHAED, ZAYN, ",Trampoline (with ZAYN),0.619,0.459,0.0334,0.56,0.0,0.137,0.498,126.803,7.0,0.0,hodgepodge.
4fpEuKIzTLmMJnYwFU0oqr,Death with Dignity,"Sufjan Stevens, ",Carrie & Lowell,0.51,0.16,0.0395,0.986,0.017,0.113,0.383,170.063,4.0,1.0,hodgepodge.
27r2uANqwK7XbsiAZnzf9e,One Day,"Tate McRae, ",One Day,0.52,0.119,0.0407,0.922,0.0,0.0883,0.355,69.217,0.0,1.0,hodgepodge.
7cgu4JBW3hq1GwTM1ilkKQ,Talking Body,"Tove Lo, ",Queen Of The Clouds,0.736,0.761,0.0338,0.0966,0.0,0.0823,0.114,119.999,4.0,0.0,hodgepodge.
4fa1TicRIFloaEVUubYfTV,Heart Attack,"One Direction, ",Take Me Home (Expanded Edition),0.44,0.824,0.073,0.0164,0.0,0.0955,0.652,99.039,9.0,1.0,hodgepodge.
3tYI3GE47dvrqCvmrh1KYQ,Myself,"Medha Sahi, ",Four More Shots Please! (Original Series Soundtrack),0.673,0.47,0.0289,0.521,0.0224,0.121,0.257,119.996,2.0,1.0,hodgepodge.
60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),"Eminem, Joyner Lucas, ",Kamikaze,0.876,0.786,0.306,0.0627,0.0,0.127,0.575,153.068,10.0,0.0,hodgepodge.
5ZtfujhQIVRZm2RMZPQ3iD,Only You,"Selena Gomez, ",13 Reasons Why (A Netflix Original Series Soundtrack),0.467,0.506,0.029,0.648,3.21e-05,0.128,0.218,97.132,9.0,1.0,hodgepodge.
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid, ",lovely (with Khalid),0.351,0.296,0.0333,0.934,0.0,0.095,0.12,115.284,4.0,0.0,hodgepodge.
1gV0hgMNdpSWeW7ZjSUKnX,Afterhours feat. Diplo & Nina Sky,"TroyBoi, Diplo, Nina Sky, ",Afterhours feat. Diplo & Nina Sky,0.74,0.831,0.0423,0.089,0.0,0.0837,0.357,91.026,1.0,1.0,hodgepodge.
2iptAVf9jZerlywLwiGhak,Fallen Angel,"Three Days Grace, ",Human,0.453,0.911,0.0382,0.00554,0.0,0.0627,0.218,137.011,2.0,0.0,hodgepodge.
1lusH0zFDRV1ThaFYsUgfi,Affection,"Cigarettes After Sex, ",Affection,0.403,0.417,0.0257,0.5,0.889,0.105,0.251,89.966,7.0,1.0,hodgepodge.
3SZLtkoHoECHHuOnNkNCuS,All of the Stars,"Ed Sheeran, ",The Fault In Our Stars: Music From The Motion Picture,0.436,0.562,0.0278,0.0102,0.000278,0.198,0.24,150.066,11.0,1.0,hodgepodge.
7MXlRIl901aXfJ2oSGn0E2,Into The Black,"Chromatics, ",Kill For Love,0.61,0.385,0.0277,0.96,0.442,0.0782,0.128,108.967,9.0,0.0,hodgepodge.
5k6ioThKIxeklkIt3MNJjC,Balenciaga,"Cheat Codes, ",Balenciaga,0.683,0.817,0.215,0.064,3.35e-05,0.076,0.241,125.977,8.0,0.0,hodgepodge.
58QhkbaAkLFnn7JwAnAato,Fall,"Eminem, ",Kamikaze,0.83,0.546,0.295,0.227,0.0,0.112,0.535,182.973,1.0,1.0,hodgepodge.
